item1,item2,value1,value2,value3,value4,value5,value6,value7
110年 5月,嘉義市,54.2,10.2,29.2,1.85,0.2,7.79,48.21
110年 5月,新竹市,43.6,12.2,25.1,2.21,0.27,10.34,50.67
110年 5月,基隆市,59.2,13,25.4,2.36,0.24,9.58,57.05
110年 5月,澎湖縣,    ...,8.3,19.3,1.81,0.16,3.19,41.2
110年 5月,花蓮縣,26,8.5,17.2,1.24,0.16,3.06,38.57
110年 5月,臺東縣,25.4,7.1,18.7,1.23,0.23,3.21,34.99
110年 5月,屏東縣,58.9,8.3,23,1.51,0.18,5.68,43.46
110年 5月,嘉義縣,33.3,12.4,31.9,1.76,0.2,6.23,41.82
110年 5月,雲林縣,44.5,12.1,28.5,2.28,0.2,7.02,49.64
110年 5月,南投縣,19.6,13,28.9,2.77,0.21,7.66,57.27
110年 5月,彰化縣,    ...,13.1,29.6,3.12,0.2,8.01,42.3
110年 5月,苗栗縣,33.1,11.6,24.5,2.71,0.22,8,39.72
110年 5月,新竹縣,49.7,12.6,24.1,1.7,0.21,7.95,54.27
110年 5月,宜蘭縣,37.6,11.4,24.8,2.33,0.23,4.45,45.81
110年 5月,高雄市,56.1,9.5,26.7,2.61,0.2,8.18,43.69
110年 5月,臺南市,75.6,9.7,25.7,2.34,0.19,8.23,47.42
110年 5月,臺中市,47.9,12.5,28.2,2.58,0.25,8.32,49.05
110年 5月,桃園市,54.1,14.7,27.4,2.77,0.26,10.81,54.94
110年 5月,臺北市,29.2,12.8,27.8,2.39,0.35,14.25,64.24
110年 5月,新北市,55.8,15.1,26.6,2.65,0.3,11.7,62.97
110年 5月,總計,43.7,11.9,26.5,2.4,0.24,8.77,51.26
110年 4月,連江縣,    ...,21,35.8,2.78,0.25,6.84,72.84
110年 4月,金門縣,72.8,17.3,43.4,2.89,0.29,7.83,68.69
110年 4月,嘉義市,96.9,28,54.5,2.82,0.38,13.38,60.71
110年 4月,新竹市,39.4,14.6,31.6,1.85,0.32,11.65,63.53
110年 4月,基隆市,46.6,13.5,26.8,1.63,0.26,8.67,56.16
110年 4月,澎湖縣,    ...,12,31.2,1.31,0.22,2.75,63.13
110年 4月,花蓮縣,36.5,10.2,24,1.4,0.26,4.83,52.26
110年 4月,臺東縣,38.9,8.6,23.4,1.16,0.28,3.95,53.44
110年 4月,屏東縣,88.5,15.5,40.2,1.74,0.29,7.63,68.23
110年 4月,嘉義縣,74.3,21.7,52.4,2.06,0.3,7.93,65.03
110年 4月,雲林縣,98.4,29.6,50.8,2.88,0.33,9.95,70.17
110年 4月,南投縣,53.5,23.9,47.4,2.99,0.37,12.91,72.68
110年 4月,彰化縣,71.1,21.3,46.3,4.63,0.33,12.56,56.53
110年 4月,苗栗縣,46.3,17,32.8,2.35,0.29,10.18,46.68
110年 4月,新竹縣,42.1,14.2,29.4,1.81,0.26,8.9,64.67
110年 4月,宜蘭縣,26.8,10.2,25.1,1.87,0.27,5.35,48.69
110年 4月,高雄市,81.3,20.9,49,2.79,0.34,12.88,72.33
110年 4月,臺南市,95.3,21.4,52.8,2.46,0.32,11.03,69.47
110年 4月,臺中市,56.2,20.1,39.4,1.95,0.33,11.7,59.14
110年 4月,桃園市,51,15.6,31.9,2.56,0.32,12.22,60.03
110年 4月,臺北市,27.2,10.9,28.8,1.79,0.38,15,58.81
110年 4月,新北市,53,12.9,30.4,2.11,0.34,11.63,59.89
110年 4月,總計,57.6,17,38.4,2.31,0.32,10.86,62.83
110年 3月,連江縣,    ...,20.8,34.4,2.65,0.28,7.73,58.99
110年 3月,金門縣,116.4,23.6,45.5,2.73,0.32,10.48,59.08
110年 3月,嘉義市,80,36.5,64.5,2.55,0.44,15.32,52.39
110年 3月,新竹市,68.4,26,40.2,2.01,0.42,15.83,53.46
110年 3月,基隆市,52.8,15.3,28.6,1.97,0.37,14.47,47.55
110年 3月,澎湖縣,    ...,17.1,33.8,1.56,0.25,3.86,55.61
110年 3月,花蓮縣,22,10.9,21.9,1.36,0.29,5.2,48.29
110年 3月,臺東縣,28,9,21,1.15,0.32,4.51,45.79
110年 3月,屏東縣,89.6,19.2,45,1.9,0.33,9.75,69.38
110年 3月,嘉義縣,95.1,30.1,62.4,1.87,0.33,8.87,56.32
110年 3月,雲林縣,73.6,38.4,64.9,2.64,0.38,10.71,60.67
110年 3月,南投縣,56.8,32.1,53.9,2.46,0.42,14.56,64.71
110年 3月,彰化縣,91.9,31.3,58.8,4.14,0.39,14.96,48.14
110年 3月,苗栗縣,70.1,25.9,36,2.41,0.33,12.23,41.53
110年 3月,新竹縣,43.1,21.6,34.5,2.74,0.33,12.17,55.74
110年 3月,宜蘭縣,31.9,11.9,25.6,1.65,0.29,5.71,46.34
110年 3月,高雄市,118.5,27.9,61.9,2.95,0.43,17.54,69.59
110年 3月,臺南市,85.5,31.6,65.1,2.34,0.37,12.87,60.59
110年 3月,臺中市,60.6,26.3,45.3,1.85,0.4,15.46,51.13
110年 3月,桃園市,49.7,26.4,39.1,2.61,0.41,17.46,51.54
110年 3月,臺北市,24.6,15.7,33.6,2.21,0.54,21.35,49.3
110年 3月,新北市,54.6,18.5,34.5,2.2,0.46,17.51,52.66
110年 3月,總計,63.4,23.3,45.2,2.35,0.4,14.47,55.96
110年 2月,連江縣,    ...,21.4,42,2.92,0.28,6.16,58.86
110年 2月,金門縣,64.1,26.1,46.4,2.11,0.3,9.26,60.38
110年 2月,嘉義市,91.7,38.6,66.2,2.43,0.42,15.4,62.36
110年 2月,新竹市,105.5,23.2,42,2.07,0.42,15.44,57.98
110年 2月,基隆市,48.7,15.3,28.3,1.82,0.33,10.83,51.42
110年 2月,澎湖縣,    ...,17.3,37.8,1.52,0.23,3,60.5
110年 2月,花蓮縣,25.4,10.7,20.7,1.18,0.24,4.85,50.97
110年 2月,臺東縣,32.4,9.4,19,1.24,0.29,4.48,48.13
110年 2月,屏東縣,100.7,21.9,42.8,1.71,0.3,8.51,69.84
110年 2月,嘉義縣,92.1,33.6,66.2,2.35,0.35,10.28,64.39
110年 2月,雲林縣,101.5,37,68.1,2.47,0.38,10.71,67.47
110年 2月,南投縣,35.6,28.1,54,2.11,0.41,12.79,73.5
110年 2月,彰化縣,87,26.5,62.4,3.37,0.41,15.09,52.91
110年 2月,苗栗縣,65.5,19.8,37.6,2.12,0.33,11.76,48.05
110年 2月,新竹縣,44.6,17.1,35.5,1.78,0.32,10.62,62.26
110年 2月,宜蘭縣,36.6,12.2,24.3,1.56,0.25,5.53,49.44
110年 2月,高雄市,95.5,32.4,60,2.57,0.41,16.24,71.77
110年 2月,臺南市,128.6,35.8,65.8,2.15,0.38,13.85,66.67
110年 2月,臺中市,98.4,22.9,49.5,2.26,0.42,16.45,57.42
110年 2月,桃園市,68,21.7,38.3,2.43,0.38,15.02,57.94
110年 2月,臺北市,30.4,15.4,30.8,1.87,0.43,17.53,53.07
110年 2月,新北市,50.5,17.7,33.3,2.06,0.39,13.97,56.16
110年 2月,總計,70.9,22.8,45.4,2.16,0.37,13.16,60.44
110年 1月,連江縣,    ...,23.1,46.3,3.23,0.31,7.58,51.41
110年 1月,金門縣,93.3,29,60.8,2.89,0.36,13.55,59.18
110年 1月,嘉義市,70.9,37.2,61.2,2.84,0.47,18.77,52.77
110年 1月,新竹市,71.2,16.1,33.6,2.22,0.4,14.71,48.23
110年 1月,基隆市,33.1,10.1,26.7,1.54,0.32,8.88,46.42
110年 1月,澎湖縣,    ...,18.7,38.6,1.57,0.25,3.53,52.69
110年 1月,花蓮縣,23,8.6,21,1.21,0.31,7.01,47.07
110年 1月,臺東縣,26.5,7.4,18.8,1.19,0.32,4.78,44.61
110年 1月,屏東縣,94.1,21.6,45.7,1.64,0.34,9.6,62.99
110年 1月,嘉義縣,60.8,28.2,56,2.62,0.35,10.51,54.68
110年 1月,雲林縣,71,35.1,58.2,2.44,0.4,12.26,54.91
110年 1月,南投縣,44.2,25.6,44.5,1.98,0.45,15.13,60.7
110年 1月,彰化縣,50.9,24.8,50,3.59,0.41,15.04,44.48
110年 1月,苗栗縣,40.8,16.3,30.3,2.15,0.34,11.68,42.9
